#      date    value 
 2012-08-16 1.289477 
 2012-08-17  7.07658 
 2012-08-18 1.836938 
 2012-08-19 0.9790671 
 2012-08-20 0.7392586 
 2012-08-21 0.7217259 
 2012-08-22 0.664838 
 2012-08-23 0.6014822 
 2012-08-24 0.5705432 
 2012-08-25 0.5562029 
 2012-08-26 0.5492876 
 2012-08-27 0.7317002 
 2012-08-28 0.7575856 
 2012-08-29 0.6260333 
 2012-08-30 0.562588 
 2012-08-31 0.5470257 
 2012-09-01   1.1521 
 2012-09-02 1.473289 
 2012-09-03 1.228755 
 2012-09-04 0.7885817 
 2012-09-05 0.6337438 
 2012-09-06 0.6349347 
