#      date    value 
 2017-07-26 2.317371 
 2017-07-27 2.184743 
 2017-07-28 2.164366 
 2017-07-29 2.093136 
 2017-07-30 2.014367 
 2017-07-31 1.960452 
 2017-08-01 1.914117 
 2017-08-02 1.885896 
 2017-08-03 2.379078 
 2017-08-04 2.051132 
 2017-08-05 2.034311 
 2017-08-06 1.900632 
 2017-08-07 2.336514 
 2017-08-08 1.976795 
 2017-08-09 1.708767 
 2017-08-10 1.617458 
 2017-08-11 1.575288 
 2017-08-12 1.831842 
 2017-08-13 1.806214 
 2017-08-14 1.565626 
 2017-08-15 1.485665 
 2017-08-16 1.451387 
 2017-08-17 1.427171 
 2017-08-18 1.711559 
 2017-08-19 1.607341 
 2017-08-20 1.452701 
 2017-08-21 1.385174 
 2017-08-22 1.698694 
 2017-08-23 3.285103 
 2017-08-24 2.420006 
 2017-08-25 1.522963 
 2017-08-26 1.307916 
 2017-08-27 1.249721 
 2017-08-28 1.240895 
 2017-08-29 3.016842 
 2017-08-30 3.951842 
 2017-08-31 2.112007 
 2017-09-01 1.330467 
 2017-09-02 1.528585 
 2017-09-03 1.384243 
 2017-09-04 1.200887 
 2017-09-05  1.12875 
 2017-09-06  1.46893 
 2017-09-07 1.278301 
 2017-09-08 1.139151 
 2017-09-09 1.083151 
 2017-09-10 1.055091 
 2017-09-11  1.03799 
 2017-09-12 1.025259 
 2017-09-13 1.131228 
 2017-09-14 1.220083 
 2017-09-15 1.086234 
 2017-09-16 1.010947 
 2017-09-17 0.9795341 
 2017-09-18 0.9826089 
 2017-09-19 2.023964 
 2017-09-20 2.114235 
 2017-09-21 1.623521 
 2017-09-22  1.11321 
 2017-09-23 0.9799575 
 2017-09-24 1.158746 
 2017-09-25  1.03041 
 2017-09-26 0.9290442 
 2017-09-27 0.890323 
 2017-09-28 0.8735288 
 2017-09-29 0.8631634 
 2017-09-30 0.8544838 
 2017-10-01 0.8464846 
 2017-10-02 0.8386039 
 2017-10-03 0.8305372 
 2017-10-04 0.8228852 
 2017-10-05 1.075003 
 2017-10-06 3.834356 
 2017-10-07 3.315298 
 2017-10-08 1.533903 
 2017-10-09 1.249721 
 2017-10-10 1.056187 
 2017-10-11 4.640995 
 2017-10-12 3.784141 
 2017-10-13 1.374805 
 2017-10-14 0.9135726 
 2017-10-15 0.7928411 
 2017-10-16 0.8759033 
 2017-10-17 1.013527 
 2017-10-18 0.8440613 
 2017-10-19 0.7596692 
 2017-10-20 0.727847 
 2017-10-21 0.7142676 
 2017-10-22 0.7119156 
 2017-10-23 0.7079001 
 2017-10-24 1.950991 
 2017-10-25 2.744028 
 2017-10-26 1.310234 
 2017-10-27 0.856918 
 2017-10-28 0.7322851 
 2017-10-29 0.7544145 
 2017-10-30 0.7096695 
 2017-10-31 0.7185508 
 2017-11-01 0.7949734 
 2017-11-02 0.8871173 
 2017-11-03 1.433802 
 2017-11-04 1.139971 
 2017-11-05 0.8578721 
 2017-11-06 1.336667 
 2017-11-07 5.982837 
 2017-11-08 1.916275 
 2017-11-09 1.032772 
 2017-11-10 0.7482032 
 2017-11-11 0.6516318 
 2017-11-12 0.6169392 
 2017-11-13 0.6135725 
 2017-11-14 0.6231605 
 2017-11-15 0.6154914 
 2017-11-16 2.162079 
 2017-11-17 2.728429 
 2017-11-18 1.137426 
 2017-11-19 2.540906 
 2017-11-20 3.790163 
 2017-11-21 1.335715 
 2017-11-22 0.7987858 
 2017-11-23 0.7240711 
 2017-11-24 0.6531729 
 2017-11-25 0.6372691 
 2017-11-26 0.6321438 
 2017-11-27 0.6140257 
 2017-11-28 0.5750632 
 2017-11-29 0.5525293 
 2017-11-30 0.5416369 
 2017-12-01 0.555997 
 2017-12-02 0.5686979 
 2017-12-03 0.5469547 
 2017-12-04 0.5309532 
 2017-12-05 0.5286867 
 2017-12-06 0.676881 
 2017-12-07 0.6755353 
 2017-12-08 0.5800389 
 2017-12-09 0.527413 
 2017-12-10 0.4988927 
 2017-12-11 0.4849817 
 2017-12-12 0.4786569 
 2017-12-13 0.4767816 
 2017-12-14 0.4747176 
 2017-12-15 0.4831479 
 2017-12-16 0.4755419 
 2017-12-17 0.4685539 
 2017-12-18 0.4800184 
 2017-12-19 0.5240993 
 2017-12-20 0.5167133 
 2017-12-21 0.5272319 
 2017-12-22 0.499288 
 2017-12-23 0.4847121 
 2017-12-24 0.7161311 
 2017-12-25 0.9197914 
 2017-12-26 0.7054723 
 2017-12-27 0.5567307 
 2017-12-28 0.4881096 
 2017-12-29 0.4564298 
 2017-12-30 0.441068 
 2017-12-31 0.4330952 
 2018-01-01 0.4282169 
 2018-01-02 0.4244334 
 2018-01-03 0.4210621 
 2018-01-04 0.4177941 
 2018-01-05 0.4146795 
 2018-01-06 0.4116535 
 2018-01-07 0.4085253 
 2018-01-08 0.4053311 
 2018-01-09 0.4346848 
 2018-01-10 0.603826 
 2018-01-11 1.011734 
 2018-01-12 3.719407 
 2018-01-13 1.564114 
 2018-01-14 0.7773248 
 2018-01-15 0.5351139 
 2018-01-16 0.448118 
 2018-01-17 0.4134363 
 2018-01-18 0.3982638 
 2018-01-19 0.3898142 
 2018-01-20 0.3916268 
 2018-01-21 0.4846139 
 2018-01-22 1.336992 
 2018-01-23 1.700058 
 2018-01-24 1.125231 
 2018-01-25 0.6746737 
 2018-01-26 0.4868172 
 2018-01-27 0.4137824 
 2018-01-28 0.5178906 
 2018-01-29 0.7414798 
 2018-01-30 0.5593185 
 2018-01-31 0.4454464 
 2018-02-01 0.3935963 
 2018-02-02 0.382467 
 2018-02-03 0.3720772 
 2018-02-04 0.3570461 
 2018-02-05 0.3541549 
 2018-02-06 0.3793478 
 2018-02-07 0.3688387 
 2018-02-08 0.3512304 
 2018-02-09 0.3400165 
 2018-02-10 0.3800123 
 2018-02-11 0.6238945 
 2018-02-12 0.5002903 
 2018-02-13 0.4049928 
 2018-02-14 0.3732349 
 2018-02-15 0.5850886 
 2018-02-16 1.535311 
 2018-02-17 6.444149 
 2018-02-18 2.196663 
 2018-02-19 0.9403467 
 2018-02-20 1.399679 
 2018-02-21 2.058614 
 2018-02-22 1.261886 
 2018-02-23 0.778273 
 2018-02-24  1.24826 
 2018-02-25 2.458214 
 2018-02-26 4.749364 
 2018-02-27 1.765182 
 2018-02-28 0.8189191 
 2018-03-01 0.6360268 
 2018-03-02   1.1814 
 2018-03-03 1.552372 
 2018-03-04 0.9274486 
 2018-03-05 0.7056512 
 2018-03-06 0.6671084 
 2018-03-07 0.7043894 
 2018-03-08 0.7074086 
 2018-03-09 0.7037462 
 2018-03-10  0.70666 
 2018-03-11 0.7190262 
 2018-03-12 0.7591856 
 2018-03-13 0.8136213 
 2018-03-14 0.8045508 
 2018-03-15 0.7968912 
 2018-03-16 0.8005775 
 2018-03-17 0.8792034 
 2018-03-18 1.437351 
 2018-03-19 1.401565 
 2018-03-20 1.171708 
 2018-03-21 1.609886 
 2018-03-22 1.761429 
 2018-03-23  1.23399 
 2018-03-24 0.9835493 
 2018-03-25 1.106971 
 2018-03-26 1.454622 
 2018-03-27 2.317516 
 2018-03-28  6.57133 
 2018-03-29 3.389091 
 2018-03-30 3.082086 
 2018-03-31 2.601371 
 2018-04-01  1.84995 
 2018-04-02 1.991897 
 2018-04-03 1.617704 
 2018-04-04 10.15116 
 2018-04-05 6.597291 
 2018-04-06  2.43126 
 2018-04-07 2.194855 
 2018-04-08 2.398457 
 2018-04-09 2.473849 
 2018-04-10 2.965123 
 2018-04-11 2.986005 
 2018-04-12 2.991753 
 2018-04-13 3.343757 
 2018-04-14 3.604026 
 2018-04-15  9.79019 
 2018-04-16 6.572257 
 2018-04-17 4.033097 
 2018-04-18 3.468957 
 2018-04-19 3.448519 
 2018-04-20 3.493567 
 2018-04-21 3.530464 
 2018-04-22 3.555412 
 2018-04-23 3.792639 
 2018-04-24 4.281215 
 2018-04-25 4.670434 
 2018-04-26 3.706597 
 2018-04-27 3.512616 
 2018-04-28 3.412156 
 2018-04-29 3.347598 
 2018-04-30  3.28901 
 2018-05-01 3.198865 
 2018-05-02 3.167286 
 2018-05-03 3.102541 
 2018-05-04 6.297798 
 2018-05-05  5.52167 
 2018-05-06 3.234094 
 2018-05-07 2.932605 
 2018-05-08 2.975717 
 2018-05-09  2.70738 
 2018-05-10 2.780123 
 2018-05-11 7.668114 
 2018-05-12 3.494827 
 2018-05-13 2.624302 
 2018-05-14 2.485806 
 2018-05-15 2.338085 
 2018-05-16 2.527523 
 2018-05-17 2.818908 
 2018-05-18  2.29629 
 2018-05-19 2.101242 
 2018-05-20 3.587817 
 2018-05-21 2.823129 
 2018-05-22 2.133155 
 2018-05-23 2.023194 
 2018-05-24 1.881614 
 2018-05-25   1.8119 
 2018-05-26 1.769449 
 2018-05-27 1.764431 
 2018-05-28 1.733715 
 2018-05-29 1.830251 
 2018-05-30 2.370256 
 2018-05-31  3.38349 
 2018-06-01 4.330765 
 2018-06-02  3.17234 
 2018-06-03 2.024276 
 2018-06-04 1.661752 
 2018-06-05  1.52689 
 2018-06-06 1.460273 
 2018-06-07 1.426815 
 2018-06-08 1.402037 
 2018-06-09 1.438315 
 2018-06-10 1.541054 
 2018-06-11 6.138688 
 2018-06-12 9.894236 
 2018-06-13 3.319732 
 2018-06-14  2.10114 
 2018-06-15 1.885453 
 2018-06-16 1.442846 
 2018-06-17 1.274834 
 2018-06-18 1.217542 
 2018-06-19 1.191231 
 2018-06-20 1.289351 
 2018-06-21 5.595347 
 2018-06-22  2.67818 
 2018-06-23  3.51859 
 2018-06-24 2.143303 
 2018-06-25 1.356189 
 2018-06-26 1.148021 
 2018-06-27 4.389478 
 2018-06-28 4.534549 
 2018-06-29 1.709252 
 2018-06-30 1.204863 
 2018-07-01 1.064428 
 2018-07-02 1.018502 
 2018-07-03 1.031782 
 2018-07-04 1.018098 
 2018-07-05 1.008672 
 2018-07-06 5.582527 
 2018-07-07 11.06641 
 2018-07-08 2.184243 
 2018-07-09 1.197502 
 2018-07-10 0.9869955 
 2018-07-11 0.9340549 
 2018-07-12 0.9917105 
 2018-07-13 0.9447824 
 2018-07-14 0.905917 
 2018-07-15 0.9078547 
 2018-07-16 1.120925 
 2018-07-17 1.060313 
 2018-07-18 0.9428536 
